userid;age;gender;photoid;x;y;annotation;status;phrase length;validator_userid;validator_age;validator_gender
8;3;female;img16;459;214;A small restaurant called Suruchi, with a red and white front. It's between the Subway sandwich shop and another small restaurant called Thai Basil.;correct;149;62;4;male
8;3;female;img22;473;403;It's a Georgian building. It's the second door from the corner, with a white door.;correct;82;11;2;female
8;3;female;img22;476;402;It's a Georgian building. It's the second door from the corner, with a white door.;correct;82;15;2;male
8;3;female;img22;475;420;It's a Georgian building. It's the second door from the corner, with a white door.;correct;82;17;4;male
8;3;female;img08;341;367;A main door Georgian flat on Moray Place. It has a red postbox right in front of it.;correct;84;25;2;female
8;3;female;img08;356;398;A main door Georgian flat on Moray Place. It has a red postbox right in front of it.;correct;84;30;3;female
8;3;female;img08;0;0;A main door Georgian flat on Moray Place. It has a red postbox right in front of it.;cantfind;84;41;5;female
8;3;female;img03;0;0;It's the bright blue door in the middle of the building in Ramsay Garden. It's got red steps leading up to the door.;cantfind;116;9;2;male
8;3;female;img03;326;271;It's the bright blue door in the middle of the building in Ramsay Garden. It's got red steps leading up to the door.;correct;116;13;2;male
8;3;female;img03;330;250;It's the bright blue door in the middle of the building in Ramsay Garden. It's got red steps leading up to the door.;correct;116;26;6;male
9;2;male;img29;0;0;To the right of the old church facing the large windows. One to the left of the buildings gable wall;cantfind;100;14;3;female
9;2;male;img06;154;243;Locate the spire, right of the towered building. Halfway between the spire and the twin towered building, double white roof windows is the target;correct;147;8;3;female
9;2;male;img06;159;242;Locate the spire, right of the towered building. Halfway between the spire and the twin towered building, double white roof windows is the target;correct;147;25;2;female
9;2;male;img06;281;252;Locate the spire, right of the towered building. Halfway between the spire and the twin towered building, double white roof windows is the target;incorrect;147;30;3;female
9;2;male;img18;191;228;Facing the Building fronts the building to the left of the cafe in red is the target. At street level it is a shop;correct;115;11;2;female
9;2;male;img18;0;0;Facing the Building fronts the building to the left of the cafe in red is the target. At street level it is a shop;ambiguous;115;69;6;female
9;2;male;img18;181;307;Facing the Building fronts the building to the left of the cafe in red is the target. At street level it is a shop;correct;115;68;4;female
9;2;male;img02;750;230;at the junction across from the church, the building with large chimney stacks and a pointed tower roof.;correct;106;13;2;male
9;2;male;img02;752;251;at the junction across from the church, the building with large chimney stacks and a pointed tower roof.;correct;106;17;4;male
9;2;male;img02;747;169;at the junction across from the church, the building with large chimney stacks and a pointed tower roof.;correct;106;19;4;female
9;2;male;img29;0;0;To the right of the old church facing the large windows. One to the left of the buildings gable wall;ambiguous;100;14;3;female
9;2;male;img29;365;322;To the right of the old church facing the large windows. One to the left of the buildings gable wall;incorrect;100;15;2;male
9;2;male;img15;392;228;LOoking directly up the road with the gallery on your left, locate the spire. directly in front of the grass at roads end the twin towered building;correct;147;26;6;male
9;2;male;img15;358;328;LOoking directly up the road with the gallery on your left, locate the spire. directly in front of the grass at roads end the twin towered building;incorrect;147;28;4;female
9;2;male;img15;458;299;LOoking directly up the road with the gallery on your left, locate the spire. directly in front of the grass at roads end the twin towered building;incorrect;147;39;2;male
11;2;female;img32;0;0;The cafe with some tables in the yard that looks like a western saloon;ambiguous;70;37;3;female
11;2;female;img32;548;468;The cafe with some tables in the yard that looks like a western saloon;correct;70;39;2;male
11;2;female;img32;355;410;The cafe with some tables in the yard that looks like a western saloon;correct;70;67;3;male
11;2;female;img25;519;342;The corner old building with the red door that looks like a church;correct;66;15;2;male
11;2;female;img25;521;322;The corner old building with the red door that looks like a church;correct;66;19;4;female
11;2;female;img25;491;334;The corner old building with the red door that looks like a church;correct;66;25;2;female
11;2;female;img16;454;216;"The little indian restaurant with the red facet, right next to ""Subway"".";correct;74;30;3;female
11;2;female;img16;468;211;"The little indian restaurant with the red facet, right next to ""Subway"".";correct;74;28;4;female
11;2;female;img16;457;258;"The little indian restaurant with the red facet, right next to ""Subway"".";correct;74;69;6;female
11;2;female;img02;753;307;The corner building across the street with the small yard in the front;correct;70;14;3;female
11;2;female;img02;0;0;The corner building across the street with the small yard in the front;cantfind;70;18;3;male
11;2;female;img02;682;166;The corner building across the street with the small yard in the front;correct;70;26;6;male
11;2;female;img29;242;323;"The shop right beside the ""elephant house""";correct;42;13;2;male
11;2;female;img29;254;344;"The shop right beside the ""elephant house""";correct;42;17;4;male
11;2;female;img29;0;0;"The shop right beside the ""elephant house""";ambiguous;42;41;5;female
13;2;male;img22;0;0;the middle block of nine windows (3x3);ambiguous;38;37;3;female
13;2;male;img22;385;241;the middle block of nine windows (3x3);correct;38;64;2;male
13;2;male;img22;390;260;the middle block of nine windows (3x3);correct;38;67;3;male
13;2;male;img10;0;0;the store with the red facade;ambiguous;29;19;4;female
13;2;male;img10;338;291;the store with the red facade;correct;29;25;2;female
13;2;male;img10;344;288;the store with the red facade;correct;29;26;6;male
13;2;male;img11;695;374;hey, look at that thick, 10-foot pillar on the right;correct;52;15;2;male
13;2;male;img11;685;389;hey, look at that thick, 10-foot pillar on the right;correct;52;30;3;female
13;2;male;img11;0;0;hey, look at that thick, 10-foot pillar on the right;ambiguous;52;76;2;female
13;2;male;img13;302;403;check out cafe florentine, the shop next to frankenstein;correct;56;17;4;male
13;2;male;img13;0;0;check out cafe florentine, the shop next to frankenstein;ambiguous;56;18;3;male
13;2;male;img13;297;338;check out cafe florentine, the shop next to frankenstein;correct;56;41;5;female
13;2;male;img09;244;240;hey friend, take a look at the whole left front of that building (starting 3 1/2 windows from the right);correct;104;14;3;female
13;2;male;img09;0;0;hey friend, take a look at the whole left front of that building (starting 3 1/2 windows from the right);ambiguous;104;66;3;female
13;2;male;img09;504;391;hey friend, take a look at the whole left front of that building (starting 3 1/2 windows from the right);incorrect;104;74;3;male
14;3;female;img05;601;231;Look at the building to your right.;correct;35;68;4;female
14;3;female;img17;587;353;The target is a tall building with 4 columns at its entrance, past the bus stop.;correct;80;15;2;male
14;3;female;img17;0;0;The target is a tall building with 4 columns at its entrance, past the bus stop.;ambiguous;80;37;3;female
14;3;female;img17;582;348;The target is a tall building with 4 columns at its entrance, past the bus stop.;correct;80;64;2;male
14;3;female;img26;0;0;At the corner of the street, where the road bends to the right, there is a dark-brown house with two white shutters.;cantfind;116;18;3;male
14;3;female;img26;334;269;At the corner of the street, where the road bends to the right, there is a dark-brown house with two white shutters.;correct;116;19;4;female
14;3;female;img26;349;268;At the corner of the street, where the road bends to the right, there is a dark-brown house with two white shutters.;correct;116;30;3;female
14;3;female;img30;352;380;Look at the square on your right.  At the far side, in front of the cathedral, is a statue.;correct;91;17;4;male
14;3;female;img30;349;306;Look at the square on your right.  At the far side, in front of the cathedral, is a statue.;correct;91;26;6;male
14;3;female;img30;351;339;Look at the square on your right.  At the far side, in front of the cathedral, is a statue.;correct;91;28;4;female
14;3;female;img30;0;0;Look at the square on your right.  At the far side, in front of the cathedral, is a statue.;ambiguous;91;36;2;male
14;3;female;img31;60;163;Look at the azure blue door on the left, and the building above and to the left of it.;correct;86;25;2;female
14;3;female;img31;208;404;Look at the azure blue door on the left, and the building above and to the left of it.;correct;86;39;2;male
14;3;female;img31;125;230;Look at the azure blue door on the left, and the building above and to the left of it.;correct;86;67;3;male
14;3;female;img05;558;215;Look at the building to your right.;correct;35;70;3;male
14;3;female;img05;623;223;Look at the building to your right.;correct;35;76;2;female
14;3;female;img05;625;256;Look at the building to your right.;correct;35;71;7;male
15;2;male;img21;260;424;The target is the Festival Theater on North Bridge. It is a large glass fronted modern building slightly set-back from the road.;correct;129;17;4;male
15;2;male;img21;222;243;The target is the Festival Theater on North Bridge. It is a large glass fronted modern building slightly set-back from the road.;correct;129;26;6;male
15;2;male;img21;273;415;The target is the Festival Theater on North Bridge. It is a large glass fronted modern building slightly set-back from the road.;correct;129;30;3;female
15;2;male;img23;0;0;A bar on the Royal Mile called Deacon Brodies. It has an ornate front with some gold coloured parts. Also has some hanging plants outside it.;ambiguous;141;18;3;male
15;2;male;img23;389;169;A bar on the Royal Mile called Deacon Brodies. It has an ornate front with some gold coloured parts. Also has some hanging plants outside it.;correct;141;25;2;female
15;2;male;img23;436;141;A bar on the Royal Mile called Deacon Brodies. It has an ornate front with some gold coloured parts. Also has some hanging plants outside it.;correct;141;76;2;female
15;2;male;img15;387;227;The Assembly up the hill from the Art Galleries on Princess Street. It looks like an old church with red banners on it.;correct;119;37;3;female
15;2;male;img15;367;227;The Assembly up the hill from the Art Galleries on Princess Street. It looks like an old church with red banners on it.;correct;119;69;6;female
15;2;male;img15;367;236;The Assembly up the hill from the Art Galleries on Princess Street. It looks like an old church with red banners on it.;correct;119;79;2;male
15;2;male;img08;346;384;The old stone house with a greeny blue door on Moray Place. It has a black fence and a red postbox outside it.;correct;110;39;2;male
15;2;male;img08;362;326;The old stone house with a greeny blue door on Moray Place. It has a black fence and a red postbox outside it.;correct;110;50;3;male
15;2;male;img08;372;354;The old stone house with a greeny blue door on Moray Place. It has a black fence and a red postbox outside it.;correct;110;55;3;male
15;2;male;img08;336;349;The old stone house with a greeny blue door on Moray Place. It has a black fence and a red postbox outside it.;correct;110;74;3;male
15;2;male;img20;533;341;The Italian Restaurant called Amarone on St Andrew's Square. Its black coloured.;correct;80;19;4;female
15;2;male;img20;471;334;The Italian Restaurant called Amarone on St Andrew's Square. Its black coloured.;correct;80;64;2;male
15;2;male;img20;470;346;The Italian Restaurant called Amarone on St Andrew's Square. Its black coloured.;correct;80;67;3;male
17;4;male;img28;388;330;You know the Scott's Memorial? Have you passed by or have you been up the top? I wish they could find a way to clean it, the stone has many problems;incorrect;150;28;4;female
17;4;male;img28;0;0;You know the Scott's Memorial? Have you passed by or have you been up the top? I wish they could find a way to clean it, the stone has many problems;ambiguous;150;42;4;female
17;4;male;img28;545;244;You know the Scott's Memorial? Have you passed by or have you been up the top? I wish they could find a way to clean it, the stone has many problems;correct;150;69;6;female
17;4;male;img06;0;0;You see this building a couple of blocks to the right of the New College? The first, plain one?;ambiguous;95;37;3;female
17;4;male;img06;163;259;You see this building a couple of blocks to the right of the New College? The first, plain one?;correct;95;64;2;male
17;4;male;img06;159;262;You see this building a couple of blocks to the right of the New College? The first, plain one?;correct;95;67;3;male
17;4;male;img12;0;0;You know the Elephant House, no? It seems they open another sweets shop next to it.;ambiguous;83;26;6;male
17;4;male;img12;171;335;You know the Elephant House, no? It seems they open another sweets shop next to it.;incorrect;83;53;4;female
17;4;male;img12;239;347;You know the Elephant House, no? It seems they open another sweets shop next to it.;incorrect;83;71;7;male
17;4;male;img14;274;404;You see that building at the end of North Bridge, the one with the dome. It is unique how it provides a focus to the area.;correct;123;19;4;female
17;4;male;img14;268;374;You see that building at the end of North Bridge, the one with the dome. It is unique how it provides a focus to the area.;correct;123;25;2;female
17;4;male;img14;270;374;You see that building at the end of North Bridge, the one with the dome. It is unique how it provides a focus to the area.;correct;123;30;3;female
17;4;male;img04;0;0;Wow, more picturesque over here, on the right, the white building with the x-shape balconies. It seems it's new though, you can tell, no?;ambiguous;137;18;3;male
17;4;male;img04;0;0;Wow, more picturesque over here, on the right, the white building with the x-shape balconies. It seems it's new though, you can tell, no?;cantfind;137;18;3;male
17;4;male;img04;708;202;Wow, more picturesque over here, on the right, the white building with the x-shape balconies. It seems it's new though, you can tell, no?;correct;137;39;2;male
18;3;male;img25;496;375;the old church with bold of red door;correct;36;37;3;female
18;3;male;img07;441;75;The huge 5 storeys of building castle style of architecture with very dominant tower and dome on top of it.;correct;107;25;2;female
18;3;male;img07;448;90;The huge 5 storeys of building castle style of architecture with very dominant tower and dome on top of it.;correct;107;28;4;female
18;3;male;img07;446;236;The huge 5 storeys of building castle style of architecture with very dominant tower and dome on top of it.;correct;107;71;7;male
18;3;male;img25;505;304;the old church with bold of red door;correct;36;66;3;female
18;3;male;img25;488;381;the old church with bold of red door;correct;36;67;3;male
18;3;male;img24;356;460;the building which has brown door in between the Decon's House Caf+Γª╞+Θ-¼ and Elgin Cashmere;correct;93;30;3;female
18;3;male;img24;0;0;the building which has brown door in between the Decon's House Caf+Γª╞+Θ-¼ and Elgin Cashmere;cantfind;93;53;4;female
18;3;male;img24;350;448;the building which has brown door in between the Decon's House Caf+Γª╞+Θ-¼ and Elgin Cashmere;correct;93;48;2;male
18;3;male;img24;359;450;the building which has brown door in between the Decon's House Caf+Γª╞+Θ-¼ and Elgin Cashmere;correct;93;54;3;male
18;3;male;img18;186;261;the symmetrical facade with 3 storeys height and look at he signage of POUNDSAVERS;correct;82;19;4;female
18;3;male;img18;169;351;the symmetrical facade with 3 storeys height and look at he signage of POUNDSAVERS;correct;82;70;3;male
18;3;male;img18;167;349;the symmetrical facade with 3 storeys height and look at he signage of POUNDSAVERS;correct;82;78;4;female
18;3;male;img32;0;0;The beautiful symmetrical facade of old timber building with cream and brown colour.;cantfind;85;21;3;male
18;3;male;img32;443;265;The beautiful symmetrical facade of old timber building with cream and brown colour.;correct;85;26;6;male
18;3;male;img32;388;314;The beautiful symmetrical facade of old timber building with cream and brown colour.;correct;85;64;2;male
19;4;female;img19;598;152;Victorian Church gable with a large stained glass window;incorrect;56;30;3;female
19;4;female;img19;376;387;Victorian Church gable with a large stained glass window;correct;56;28;4;female
19;4;female;img19;0;0;Victorian Church gable with a large stained glass window;cantfind;56;41;5;female
19;4;female;img19;358;377;Victorian Church gable with a large stained glass window;correct;56;61;3;male
19;4;female;img03;298;260;Blue door and window in a balcony at the top of a dog-leg stair;correct;63;70;3;male
19;4;female;img03;304;267;Blue door and window in a balcony at the top of a dog-leg stair;correct;63;71;7;male
19;4;female;img03;312;245;Blue door and window in a balcony at the top of a dog-leg stair;correct;63;76;2;female
19;4;female;img27;420;225;black shed with metal roof;correct;26;25;2;female
19;4;female;img27;436;301;black shed with metal roof;correct;26;37;3;female
19;4;female;img27;415;225;black shed with metal roof;correct;26;68;4;female
19;4;female;img01;0;0;doric portico and pediment;cantfind;26;64;2;male
19;4;female;img01;130;335;doric portico and pediment;incorrect;26;66;3;female
19;4;female;img01;0;0;doric portico and pediment;cantfind;26;64;2;male
19;4;female;img06;0;0;stone tenement building with two large white dormer windows;cantfind;59;21;3;male
19;4;female;img06;153;252;stone tenement building with two large white dormer windows;correct;59;26;6;male
19;4;female;img06;303;251;stone tenement building with two large white dormer windows;incorrect;59;69;6;female
21;3;male;img18;284;314;The building with the flags to the left of the ugly red building.;correct;66;26;6;male
21;3;male;img18;265;263;The building with the flags to the left of the ugly red building.;correct;66;30;3;female
21;3;male;img18;189;263;The building with the flags to the left of the ugly red building.;correct;66;67;3;male
21;3;male;img13;283;323;The cafe Florentine, to the left of the Frankenstein pub.;correct;58;25;2;female
21;3;male;img13;298;326;The cafe Florentine, to the left of the Frankenstein pub.;correct;58;38;2;male
21;3;male;img13;286;342;The cafe Florentine, to the left of the Frankenstein pub.;correct;58;64;2;male
21;3;male;img30;353;314;The green bronze statue in front of St Giles Cahedral.;correct;54;37;3;female
21;3;male;img30;352;359;The green bronze statue in front of St Giles Cahedral.;correct;54;66;3;female
21;3;male;img30;350;316;The green bronze statue in front of St Giles Cahedral.;correct;54;68;4;female
21;3;male;img09;230;402;The area above and including the ugly grey cafe.;correct;49;39;2;male
21;3;male;img09;177;356;The area above and including the ugly grey cafe.;correct;49;69;6;female
21;3;male;img09;171;331;The area above and including the ugly grey cafe.;correct;49;70;3;male
21;3;male;img10;338;314;The Elephant House, the cafe with the red shopfront.;correct;53;28;4;female
21;3;male;img10;0;0;The Elephant House, the cafe with the red shopfront.;cantfind;53;41;5;female
21;3;male;img10;348;327;The Elephant House, the cafe with the red shopfront.;correct;53;61;3;male
22;6;male;img26;0;0;Double mews villa with accommodation in 3 bays above;ambiguous;52;25;2;female
22;6;male;img26;322;279;Double mews villa with accommodation in 3 bays above;correct;52;26;6;male
22;6;male;img26;414;254;Double mews villa with accommodation in 3 bays above;incorrect;52;28;4;female
22;6;male;img15;385;212;Twin towers in pseudo westwerk facade to church administeration centre. Generic Gothic in ORS. engaging profile but unattractive structure;correct;138;30;3;female
22;6;male;img15;0;0;Twin towers in pseudo westwerk facade to church administeration centre. Generic Gothic in ORS. engaging profile but unattractive structure;cantfind;138;36;2;male
22;6;male;img15;375;238;Twin towers in pseudo westwerk facade to church administeration centre. Generic Gothic in ORS. engaging profile but unattractive structure;correct;138;64;2;male
25;2;female;img19;354;327;There is a church that lies between a tall clock tower at the right side as you watch the church and a tall building at the left side;correct;134;26;6;male
25;2;female;img19;362;368;There is a church that lies between a tall clock tower at the right side as you watch the church and a tall building at the left side;correct;134;68;4;female
25;2;female;img19;354;358;There is a church that lies between a tall clock tower at the right side as you watch the church and a tall building at the left side;correct;134;74;3;male
25;2;female;img02;751;232;The building is in the corner of an intersection, opposite a church. consists of 4 flours and the whole block consists of same building.;correct;138;37;3;female
25;2;female;img02;746;210;The building is in the corner of an intersection, opposite a church. consists of 4 flours and the whole block consists of same building.;correct;138;42;4;female
25;2;female;img02;759;255;The building is in the corner of an intersection, opposite a church. consists of 4 flours and the whole block consists of same building.;correct;138;66;3;female
25;2;female;img03;329;276;There is a building with similar apartments with red external stairs. The middle apartment that has a blue door in the first floor;correct;132;30;3;female
25;2;female;img03;328;248;There is a building with similar apartments with red external stairs. The middle apartment that has a blue door in the first floor;correct;132;28;4;female
25;2;female;img03;328;263;There is a building with similar apartments with red external stairs. The middle apartment that has a blue door in the first floor;correct;132;64;2;male
25;2;female;img28;0;0;The tallest tower that you see from a general view of the city. It is also of a dark colour;ambiguous;92;41;5;female
25;2;female;img28;545;220;The tallest tower that you see from a general view of the city. It is also of a dark colour;correct;92;38;2;male
25;2;female;img28;544;215;The tallest tower that you see from a general view of the city. It is also of a dark colour;correct;92;70;3;male
26;6;male;img20;465;323;Corner building of 6 storeys, white with black stone linings on ground floor, Amarone restuarant.;correct;98;48;2;male
26;6;male;img20;635;321;Corner building of 6 storeys, white with black stone linings on ground floor, Amarone restuarant.;correct;98;69;6;female
26;6;male;img20;514;273;Corner building of 6 storeys, white with black stone linings on ground floor, Amarone restuarant.;correct;98;75;3;male
26;6;male;img14;263;378;Neoclassical building opposite road end at T-junction. With dome above entrance arrangement of pillars above 1st floor level.;correct;126;37;3;female
26;6;male;img14;0;0;Neoclassical building opposite road end at T-junction. With dome above entrance arrangement of pillars above 1st floor level.;cantfind;126;39;2;male
26;6;male;img14;263;397;Neoclassical building opposite road end at T-junction. With dome above entrance arrangement of pillars above 1st floor level.;correct;126;66;3;female
26;6;male;img22;473;394;Typical Edinburgh Georgian New town house, second from terrace end, in three storeys with mansard roof with dormers. White door grnd floor right.;correct;145;28;4;female
26;6;male;img22;0;0;Typical Edinburgh Georgian New town house, second from terrace end, in three storeys with mansard roof with dormers. White door grnd floor right.;cantfind;145;41;5;female
26;6;male;img22;471;405;Typical Edinburgh Georgian New town house, second from terrace end, in three storeys with mansard roof with dormers. White door grnd floor right.;correct;145;42;4;female
26;6;male;img25;530;371;"Church-like structure at major junction with side road passing on left; triangular forecourt behind cast iron railings; red door, generic gothic.";correct;145;30;3;female
26;6;male;img25;537;291;"Church-like structure at major junction with side road passing on left; triangular forecourt behind cast iron railings; red door, generic gothic.";correct;145;36;2;male
26;6;male;img25;562;320;"Church-like structure at major junction with side road passing on left; triangular forecourt behind cast iron railings; red door, generic gothic.";correct;145;68;4;female
26;6;male;img16;460;248;Suruchi restuaront on half plot between Subway and Thai restuarants. Red frontage with large white nameplate over door/window;correct;125;38;2;male
26;6;male;img16;459;317;Suruchi restuaront on half plot between Subway and Thai restuarants. Red frontage with large white nameplate over door/window;correct;125;55;3;male
26;6;male;img16;468;252;Suruchi restuaront on half plot between Subway and Thai restuarants. Red frontage with large white nameplate over door/window;correct;125;67;3;male
27;2;male;img04;0;0;chimney;ambiguous;7;30;3;female
27;2;male;img04;105;106;chimney;incorrect;7;38;2;male
27;2;male;img29;0;0;entrance;ambiguous;8;42;4;female
27;2;male;img24;0;0;nothing found;ambiguous;13;39;2;male
27;2;male;img21;239;437;entrance;correct;8;28;4;female
27;2;male;img21;0;0;entrance;cantfind;8;37;3;female
28;4;female;img17;575;300;It is a large white building to your right that has three column that go top to bottome on the front of the building;correct;116;30;3;female
28;4;female;img17;603;291;It is a large white building to your right that has three column that go top to bottome on the front of the building;correct;116;36;2;male
28;4;female;img17;580;309;It is a large white building to your right that has three column that go top to bottome on the front of the building;correct;116;76;2;female
28;4;female;img08;343;375;It is a very lovely three story building.  There appears to be a fire hydrant in front.  It has a rodiron fence.;correct;112;37;3;female
